File Name	Line Count
part10.txt	4
part11.txt	3
part12.txt	4
part13.txt	2
part14.txt	5
part15.txt	4
part16.txt	2
part17.txt	3
part18.txt	5
part19.txt	4
part1.txt	2
part20.txt	5
part21.txt	3
part22.txt	4
part23.txt	3
part24.txt	2
part25.txt	4
part26.txt	3
part27.txt	5
part28.txt	5
part29.txt	2
part2.txt	4
part30.txt	4
part31.txt	2
part32.txt	6
part33.txt	2
part34.txt	4
part35.txt	4
part36.txt	4
part37.txt	2
part38.txt	4
part39.txt	4
part3.txt	5
part40.txt	4
part41.txt	4
part42.txt	5
part43.txt	5
part44.txt	3
part45.txt	2
part46.txt	5
part47.txt	4
part48.txt	5
part49.txt	4
part4.txt	2
part50.txt	6
part5.txt	4
part6.txt	7
part7.txt	3
part8.txt	4
part9.txt	4
